Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Match Report
2022-02-06,20:45 (21:45),Serie A,Matchweek 24,Sun,Home,W,2,0,Hellas Verona,22,14,12,9,1,8,21,38.1,13,175,52,29.7,71,80,24,19,6,0,13,26,,25,0,Match Report
2022-02-10,21:00 (22:00),Coppa Italia,Quarter-finals,Thu,Home,W,2,1,Sassuolo,,8,,,,,,,,,,,,,,,,,,8,,,,Match Report
2022-02-13,20:45 (21:45),Serie A,Matchweek 25,Sun,Away,D,1,1,Atalanta,12,8,7,0,5,3,9,33.3,6,142,42,29.6,57,53,32,19,7,0,12,16,,29,0,Match Report
2022-02-18,20:45 (21:45),Serie A,Matchweek 26,Fri,Home,D,1,1,Torino,19,12,9,7,3,6,11,54.5,5,188,54,28.7,69,85,34,16,3,0,13,11,,16,0,Match Report
2022-02-22,21:00 (22:00),Champions Lg,Round of 16,Tue,Away,D,1,1,es Villarreal,19,8,13,4,2,5,14,35.7,9,130,30,23.1,67,42,21,10,3,0,7,16,,24,0,Match Report
2022-02-26,18:00 (19:00),Serie A,Matchweek 27,Sat,Away,W,3,2,Empoli,23,16,13,10,0,5,10,50.0,5,122,49,40.2,52,57,13,16,3,0,13,15,,26,0,Match Report
2022-03-02,21:00 (22:00),Coppa Italia,Semi-finals,Wed,Away,W,1,0,Fiorentina,,6,,,,,,,,,,,,,,,,,,5,,,,Match Report
2022-03-06,18:00 (19:00),Serie A,Matchweek 28,Sun,Home,W,1,0,Spezia,21,13,7,11,3,8,15,53.3,7,152,50,32.9,57,60,35,16,1,0,15,13,,6,0,Match Report
2022-03-12,18:00 (19:00),Serie A,Matchweek 29,Sat,Away,W,3,1,Sampdoria,13,10,5,5,3,5,12,41.7,7,159,48,30.2,72,61,26,14,7,0,7,7,,24,0,Match Report
2022-03-16,21:00 (22:00),Champions Lg,Round of 16,Wed,Home,L,0,3,es Villarreal,19,14,6,7,6,5,11,45.5,6,129,46,35.7,27,51,51,9,3,0,6,10,,6,0,Match Report
2022-03-20,15:00 (16:00),Serie A,Matchweek 30,Sun,Home,W,2,0,Salernitana,20,13,11,4,5,3,9,33.3,6,148,41,27.7,49,58,41,13,3,0,10,14,,14,0,Match Report
2022-04-03,20:45,Serie A,Matchweek 31,Sun,Home,L,0,1,Inter,,9,,,,,,,,,,,,,,,,,,4,,,,Match Report
