Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-02-18,20:45 (21:45),Serie A,Matchweek 26,Fri,Home,D,1,1,Torino,0.7,0.7,46,20132,Paulo Dybala,4-3-2-1,Davide Massa,Match Report,
2022-02-22,21:00 (22:00),Champions Lg,Round of 16,Tue,Away,D,1,1,es Villarreal,0.5,1.1,45,17686,Alex Sandro,3-5-2,Daniel Siebert,Match Report,Leg 1 of 2
2022-02-26,18:00 (19:00),Serie A,Matchweek 27,Sat,Away,W,3,2,Empoli,2.1,1.3,47,11890,Leonardo Bonucci,4-4-2,Fabio Maresca,Match Report,
2022-03-02,21:00 (22:00),Coppa Italia,Semi-finals,Wed,Away,W,1,0,Fiorentina,,,45,,Danilo,3-5-2,Marco Guida,Match Report,Leg 1 of 2
2022-03-06,18:00 (19:00),Serie A,Matchweek 28,Sun,Home,W,1,0,Spezia,1.5,0.7,56,26475,Juan Cuadrado,4-4-2,Francesco Fourneau,Match Report,
2022-03-12,18:00 (19:00),Serie A,Matchweek 29,Sat,Away,W,3,1,Sampdoria,1.1,1.6,51,16644,Juan Cuadrado,4-4-2,Paolo Valeri,Match Report,
2022-03-16,21:00 (22:00),Champions Lg,Round of 16,Wed,Home,L,0,3,es Villarreal,1.1,2.3,58,30385,Juan Cuadrado,3-5-2,Szymon Marciniak,Match Report,Leg 2 of 2; Villarreal won
2022-03-20,15:00 (16:00),Serie A,Matchweek 30,Sun,Home,W,2,0,Salernitana,1.5,0.5,56,29186,Giorgio Chiellini,4-4-2,Giovanni Ayroldi,Match Report,
2022-04-03,20:45,Serie A,Matchweek 31,Sun,Home,L,0,1,Inter,,,54,,Giorgio Chiellini,4-2-3-1,Massimiliano Irrati,Match Report,
2022-04-09,20:45,Serie A,Matchweek 32,Sat,Away,,,,Cagliari,,,,,,,,Head-to-Head,
2022-04-16,18:30,Serie A,Matchweek 33,Sat,Home,,,,Bologna,,,,,,,,Head-to-Head,
2022-04-20,21:00,Coppa Italia,Semi-finals,Wed,Home,,,,Fiorentina,,,,,,,,Head-to-Head,Leg 2 of 2; Fiorentina 0:1 Juventus
2022-04-24,,Serie A,Matchweek 34,Sun,Away,,,,Sassuolo,,,,,,,,Head-to-Head,
2022-05-01,,Serie A,Matchweek 35,Sun,Home,,,,Venezia,,,,,,,,Head-to-Head,
2022-05-08,,Serie A,Matchweek 36,Sun,Away,,,,Genoa,,,,,,,,Head-to-Head,
2022-05-15,,Serie A,Matchweek 37,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,
2022-05-22,,Serie A,Matchweek 38,Sun,Away,,,,Fiorentina,,,,,,,,Head-to-Head,
