Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Marley Aké\414e1f69,fr FRA,FW,21-090,3,1,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,37-059,1,0,31,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.50,0.12,0.63,0.50,0.63,Matches
Matìas Soulé\c13ddd3e,ar ARG,FW,18-355,2,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,2.40,0.00,2.40,2.40,2.40,Matches
Fabio Miretti\34693494,it ITA,MF,18-245,2,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cosimo Marco Da Graca\32f76907,it ITA,FW,19-339,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Zsombor Senkó\df29265d,hu HUN,GK,19-004,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Ranocchia\d9ebed1c,it ITA,MF,20-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Carlo Pinsoglio\f6a06749,it ITA,GK,32-020,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Raina\fabe85d7,it ITA,GK,19-315,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Stramaccioni\aeab3f28,it ITA,DF,21-093,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolò Fagioli\366be751,it ITA,MF,21-052,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Franco Israel\1f994616,uy URU,GK,21-348,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
