Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2022-02-13,20:45 (21:45),Serie A,Matchweek 25,Sun,Away,D,1,1,Atalanta,396,504,78.6,8405,3160,130,157,82.8,178,207,86.0,82,118,69.5,1,0.6,13,31,13,4,56,Match Report
2022-02-18,20:45 (21:45),Serie A,Matchweek 26,Fri,Home,D,1,1,Torino,318,412,77.2,6630,2622,115,138,83.3,147,177,83.1,52,82,63.4,1,0.6,10,23,4,2,27,Match Report
2022-02-22,21:00 (22:00),Champions Lg,Round of 16,Tue,Away,D,1,1,es Villarreal,397,484,82.0,8733,2677,138,157,87.9,162,183,88.5,88,121,72.7,1,0.5,7,28,9,4,26,Match Report
2022-02-26,18:00 (19:00),Serie A,Matchweek 27,Sat,Away,W,3,2,Empoli,372,463,80.3,7133,2586,173,189,91.5,124,150,82.7,63,104,60.6,3,2.1,12,15,10,4,21,Match Report
2022-03-02,21:00 (22:00),Coppa Italia,Semi-finals,Wed,Away,W,1,0,Fiorentina,,,,,,,,,,,,,,,0,,,,,,,Match Report
2022-03-06,18:00 (19:00),Serie A,Matchweek 28,Sun,Home,W,1,0,Spezia,534,616,86.7,10953,2974,176,196,89.8,273,299,91.3,80,110,72.7,1,1.4,8,30,7,0,30,Match Report
2022-03-12,18:00 (19:00),Serie A,Matchweek 29,Sat,Away,W,3,1,Sampdoria,524,592,88.5,10444,2774,207,227,91.2,232,252,92.1,80,103,77.7,1,0.4,5,30,7,1,25,Match Report
2022-03-16,21:00 (22:00),Champions Lg,Round of 16,Wed,Home,L,0,3,es Villarreal,570,654,87.2,11045,2809,184,206,89.3,319,340,93.8,64,90,71.1,0,0.6,10,61,9,2,42,Match Report
2022-03-20,15:00 (16:00),Serie A,Matchweek 30,Sun,Home,W,2,0,Salernitana,477,557,85.6,9134,3075,202,223,90.6,196,217,90.3,72,99,72.7,2,1.3,11,35,10,1,31,Match Report
2022-04-03,20:45,Serie A,Matchweek 31,Sun,Home,L,0,1,Inter,,,,,,,,,,,,,,,0,,,,,,,Match Report
